ques,A,B,C,D,E,Answer,
A PH scale (meter or strip of pape) has values from 0 to 14. Which value is neutral?,  10,  14,  7,  0,  Don't know.,C,
"Apart from red, what other colour is frequently used for a dry powder extinguisher?",  Black,  Blue,  Green,  Yellow,  Don't know.,B,
"Based on average consumption, how much beef entrecote would you buy for 90 days for a crew of 30 men?",  75 kg,  35 kg,  15 kg,  120 kg,  Don't know.,A,
Between a complete removal and a renewing of floor polish what can you do to maintain a PVC floor surface?,  Apply an extra layer of polish every month.,  By soft machine scrubbing with red pad and a renewing of polish only where there is heavy traffic (f.i. in the middle of corridors and not the whole floor).,  By using soft machine scrubbing once every fortnight and wash with a solution of water and polish.,  By using the softest of the pads on the disk and dry scrub.,  Don't know.,B,
"Cleaning has certain safety aspects, among other things which?",  Untidy rooms are a safety hazard.,  Cleaning has nothing to do with safety.,  Polished floors are a safety risk.,  Fire is easily spread in dust and trash and wet floors may cause different accidents. ,  Don't know.,D,
Do you need a sink if your ship is provided with a dishwashing machine?,  A sink is always needed irrespective of the type of the dishwashing machine provided.,  Whether a sink is needed depends on the type of the dishwashing machine.,"  No, it is not necessary to sink any dishes.",  A sink can only be used for laundry and should not be connected with a dishwashing machine.,  Don't know.,A,
"From where on board can you find out the different types of protection equipment regarding where placed, how much, how many ans.?",  In the deck log book,  In cargo control room.,  The ship's safety plan,  Stated in your cabin.,  Don't know.,C,
Hindus are not allowed to eat one particular type of meat. Which one?,  Chicken,  Beef,  Lamb ,  Pork,  Don't know.,B,
How many days will fresh cucumbers usually last in cold storage?,  Approx. 18 Days,  Approx. 28 Days,  Approx. 7 Days,  Approx. 12 Days,  Don't know.,C,
How many grams of pure boneless beef would you consider suitable per person for hot dishes/roasts?,  450 gr,  200 gr,  350 gr,  75 gr,  Don't know.,A,
How many hand held distress flares are carried in each lifeboat?,  6,  12,  4,  2,  Don't know.,A,
How many pyrotechnic signals to be in each lifeboat?,"  6 Rocket parachute flares / 6 hand Flares / 6 
buoyant smoke signals","  8 Rocket parachute flares / 2 hand flares / 6 
buoyant smoke signals","  4 Rocket parachute flares / 6 hand flares / 2 
buoyant smoke signals","  10 Rocket parachute flares / 12 hand flares / 5 
buoyant smoke signals",  Don't know.,B,
How will you treat a seasick person?,  Force him to eat any kind of fat food.,  Leave him in bed or request him to have some fresh air.,  Encourage him to drink a lot of lukewarm sea water.,  Make him swallow seasick pills until he stops vomiting.,  Don't know.,B,
"If Mouth - to - Mouth (M-T-M) ventilation by itself is unsuccessful and the casualty's heart stops, or has stopped beating, you must perform External Chest Compression (ECC) in conjunction with M-T-M. When performing ECC, where do you place your hand on the casualty's body?","  Place the heel of one hand, two finger breadths above the bottom of breastbone. Cover the hand with the heel of the other hand.",  The correct position of your hands are of no importance.,  Place the heel of your two hands on the top of the breastbone.,  Place the heel of your hand on the top of the heart position. Cover the hand with the heel of the other hand.,  Don't know.,D,
"If you have to carry out hot work close to a smoke detector in the engine room, what precautions should be taken?",  No special precautions except for having a watch man and a fire extinguisher available.,  Notify deck officer in charge that a fire alarm may occur.,  Disconnect the smoke detector.,"  Notify Master, Deck officer and engineer in charge. The loop for this special sensor to be switched off and take normal precautions for hot work.",  Don't know.,D,
In general cleaning it is recommended and suitable to use cleaning products which are:,  Both alkaline and acid.,  Acid.,  Alkaline.,  Neutral.,  Don't know.,C,
Injuries resulting from slips and falls constitute the largest percentage of accidents that occur in the catering department.What should be done to reduce this high accident rate?,  Keep the floors and decks free from fat and grease.,  Do not wash off all rubbish to prevent persons slipping,  Ensure that slippery substances are not left where several persons are expected to be around.,  Install thermostates to avoid water from freezing to Ice.,  Don't know.,B,
It is considered to be an advantage to have a written working-plan for cleaning personnel. Why?,  To know specificly where to clean every day/week/month.,  I am not convinced it is of any help.,  To improve cleaning.,  To keep track of overtime.,  Don't know.,A,
It is recommended to have special dirt-absorbing mats inside all doors leading to the decks and the engine. Why?,  To remind the crew to take off their shoes.,  To prevent people from skidding.,  Helps keep accommodation floors clean longer.,  It looks nice and tidy when in port.,  Don't know.,C,
"On the average, how much long life milk would a crew of 30 men use in the course of 30 days?",  90 liter,  220 liter,  330 liter,  450 lite,  Don't know.,B,
Ordinary toilet soap is an:,  Alkaline cleaner.,  Acid cleaner.,  Neutral cleaner.,  Skin protecting product.,  Don't know.,A,
"The PH concept does not correspond with cleaning efficiency, but depends entirely on what?",  Good water quality.,  Suitable cleaning equipment.,  A suitable composition of water and detergent.,  A useable composition of a small number of different Alkaline products.,  Don't know.,B,
"The emergency fire pump is in accordance with good seamanship and precautionary routines run and tested weekly.Routine checks and maintenance are normally carried out by dedicated personnel. To ensure safe and appropriate operation of the pump, would you consider it beneficial that","  In case of accidents, it is important that a wide range of personnel must be permitted and trained to operate the pump.",  Only senior deck officers should operate the emergency pump.,"  To ensure safe operation of the emergency pump,only dedicated personnel must be permitted to operate the pump.",  Only senior engineers should operate the emergency pump.,  Don't know.,C,
The muster list shall show the duties assigned to the different members of the crew. Which of the given duties do not necessarily have to be included in the muster list?,  Muster of passengers,  Clearing escape routes,  Manning of fire parties assigned to deal with fires,  Preparation and launching of survival crafts,  Don't know.,A,
There is always a remote possibility that a fish and meat freezer could break down. What product should you always keep enough of in stock?,  Fruit,  Vegetables,  Rice,  Salt,  Don't know.,D,
"To maintain a fire, three conditions need to be met: Oxygen, combustible material and sufficient temperature for combustion. What subject must be removed to extinguish the fire?","  Heat, Oxygen and combustible material.",  Either of the mentioned alternatives.,  Oxygen.,  Combustible material.,  Don't know.,D,
Using a wide mop on polished floors is considered better than using brush and cloth. Why?,  It saves the cleaning products.,  Cleaning intervals can be increased.,  It does not wipe off the polish.,  The floor surface becomes cleaner.,  Don't know.,B,
What can we achieve with improved knowledge of cleaning?,  All catering personnel have basic knowledge of cleaning sufficient for a seaman.,  The acommodation area will look better.,  It will be easier for me to be promoted.,  In all professions you have to learn before you can manage a job.,  Don't know.,A,
"What does ""general daily cleaning"" mean?","  Removing trash, dusting and light cleaning in cabins, messrooms and WC.",  Cleaning floors in cabins and messrooms.,  Dishwashing and laundry service.,"  Washing floors, chemical cleaning of furniture and carpets, polishing.",  Don't know.,C,
What does the abbreviation ABC mean in first aid?,"  Air, Burning, Critic.","  Air, Breathing, Circulation","  Abandon, Balance, Circulation","  Air, Breath, Concentration",  Don't know.,C,
What happens to green vegetables in the presence of ethylene gas?,  They get a fresher green colour.,  They last longer.,  They turn yellow.,"  They develop a better, fresher taste.",  Don't know.,C,
"What is advisable for a person entering a padlocked, refrigerated room?",  He should never remove any ice or debris as the ice is needed to keep the refrigerated room at the right temperature.,  He should take the padlock inside the room.,  He should leave the padlock outside on the door for everyone to be seen.,  He should ensure that sufficient meathooks are stored in the refrigerated room so that they will be easily found whenever needed in an emergency.,  Don't know.,C,
What is most important to take with you in a lifeboat if the ship is abandoned?,  All pets that will most likely not be able to enter the boat by themselves.,  As much biscuit and canned food as possible.,"  Warm clothes, blankets and lifevests.","  All valuables like money, jewelry etc.",  Don't know.,B,
What is recommended for general rough cleaning?,  Neutral and acid detergent.,"  A mixture of alkaline, neutral and acid detergent.",  Alkaline detergent (strong).,  Acid detergent.,  Don't know.,C,
What is the connection between ethylene gas and food?,  Ethylene is the gas produced by most fruits and vegetables during the ripening process.,  Ethylene is the gas that develops when meat and fish are stored for too long (bacterial decomposition).,  Ethylene is the gas that develops as yeast dough bakes.,  Ethylene is the gas that develops as baking powder dough bakes.,  Don't know.,C,
What is the correct temperature for storing bananas?,  13 ,  17 ,  4 ,  8 ,  Don't know.,B,
What is the correct temperature range for the vegetable room where most of the fruits and vegetables are stored?,  1 ,  10 ,  7 ,  4,  Don't know.,C,
What is the fat content of whole milk?,  0.5 ,  4.3 ,  2 ,  3.5 ,  Don't know.,A,
What is the lowest temperature at which potatoes should be stored?,  + 8° C,  + 6° C,  + 4° C,  + 2° C,  Don't know.,C,
What is the meaning of this symbol?,  Liferaft,  Davit,  Lifeboat,  Rescue boat,  Don't know.,C,
What is the necessary equipment besides detergent when performing floor scouring on PVC - covered floors?,  A rough brush with long handle.,  A combined carpet,  Vacuum,  A combined scouring and polishing machine.,  Don't know.,C,
"What is the procedure for use of the main engine room fire extinguishing system, e.g. Halon or CO2 system?","  Search the engine room, make sure all personnel is out. ",  Release the Halon/CO2 as soon as possible without pre warning.,  Release the Halon/CO2 upon the order of the engineer on duty.,"  Search the engine room, make sure all personnel is out. ",  Don't know.,C,
What kind of cleaning product would you use to remove burnt food remains?,  May,  Strong alkaline solution.,  Neutral solution.,  September,  Don't know.,C,
What kind of cleaning product would you use to remove spilled oil and fat in the galley and pantry?,  Whitespirit or other fat removers.,  Neutral to Alkaline solution.,  Neutral to acid solution.,  Hot water.,  Don't know.,C,
What kind of foot wear should be used when working on deck and in the engine room?,  Sandals or plimsolls,  Safety shoes or safety boots,  Rubber boots,  Tennis shoes,  Don't know.,C,
What kind of routine would you follow to make preparations for the next day's menu (frozen meat and fish)?,  Messman selects provisions on the basis of instructions from the chief cook.,  Chief cook selects provisions alone. No discussion with the second cook.,"  Chief cook and second cook work together to select provisions for officers and crew, discussing needs and quantities, if necessary.",  Second cook selects provisions based on a fixed menu for officers and crew.,  Don't know.,C,
What shall be done with left over food?,  It shall be left in crockeries on the table for the next meal.,  It shall be thrown over board to avoid any bad smell.,  It shall be properly stored and prepared for another meal.,  The value of the left over food shall be paid by the cook.,  Don't know.,A,
What should NOT be given to a patient suffering from diarrhea?,  Oatmeal gruel,  Milk,  Coca Cola,  Grated apple,  Don't know.,C,
What will you serve seafarers who has been exposed to cold?,  Fruit and vegetables only.,"  Brandy, whisky or other strong drinks.",  Pork and fat fish.,  Warm nutritious drinks.,  Don't know.,C,
What would you serve at a cocktail party?,  Buffet featuring warm and cold dishes.,  Assorted open,  Assorted canapés.,  Buffet featuring warm dishes.,  Don't know.,B,
"When a fire breaks out in the accomodation, cargo holds or on deck, who is in charge of the fire fighting operations?",  The officer on duty,  The Chief Officer,  The officer on duty,  The Captain,  Don't know.,C,
"When it is midsummer in France, what time of the year is it in South Africa?",  Early spring,  Autumn,  Midsummer,  Midwinter,  Don't know.,C,
"When ordering cornflakes, which unit of measurement would you use?",  Case,  Carton,  Bag,  Packages of 500 g each,  Don't know.,C,
When should gangway nets be rigged?,  Whenever the gangway is rigged.,  When it is deemed necessary by the Master or the Chief Officer.,  Whenever the gangway is regarded as unsafe.,  Between sunset and sunrise.,  Don't know.,C,
When using an electric drier the linen should be removed when it is?,  Approximately 85% dry.,  Approximately 75% dry.,  Completely dry.,  Approximately 60% dry.,  Don't know.,C,
"When you are taking out provisions for the next day, you notice that the temperature in the meat freezer is only -8° C. How would you react to such a situation?",  It's not your problem.,  Report it immediately to the chief engineer.,  Wait until the next day to report it.,  Report it immediately to the chief officer.,  Don't know.,C,
Where do we find information about the ships fire preparedness?,  Information about the ships fire preparedness do we find in the deck log book,  Information about the ships fire preparedness do we find in the alarm instruction,  Information about the ships fire preparedness do we find in the company QA manual,  Information about the ships fire preparedness do we find at the fire station,  Don't know.,C,
Where would you store a six-month supply of margarine?,  In the dairy room.,  In the vegetable room.,  In the meat locker.,  In the dry stores room at + 20° C.,  Don't know.,C,
Which PH - values are recommended when cleaning carpets and furniture textiles?,  7,  Strong alkaline solution.,  Neutral solution.,  Acidic solution.,  Don't know.,C,
Which PH - values are recommended when washing tiled bathrooms?,  4 ,  7 ,  2,  3,  Don't know.,C,
Which harbour can provide certain Norwegian supplies?,  Singapore,"  Melbourne, Australia","  Pusan, Korea","  Dubai, U.A.E.",  Don't know.,C,
Which mineral is essential for building and maintaining bones and teeth?,  Iron,  Calcium,  Iodine,  Copper,  Don't know.,C,
Which month is the season for strawberries in South Africa?,  March,  December,  June,  September,  Don't know.,C,
Which of the following actions will most effectively prevent fire in a cabin?,  Request people to refrain from smoking.,  Removing all ashtrays.,  Ensuring that all persons avoid smoking in bed.,  Request people to refrain from smoking.,  Don't know.,C,
Which of the following cuts of meat does not come from a leg of beef?,  Thick flank,  Silverside,  Rump,  Topside,  Don't know.,A,
Which of the following dinner dishes is least appropriate to serve in tropical waters?,"  Fried mackerel fillet, cucumber salad, boiled potatoes, sour cream.","  Salted meat and ham, potato dumplings, mashed swedes, boiled potatoes.","  Fried chicken, fresh green salad, french fried potatoes, gravy.","  Cold poached salmon, cucumber salad, boiled potatoes, sour cream.",  Don't know.,C,
Which of the following food groups contains the most energy per 100 grams?,  Carbohydrates,  Proteins,  Fats,  Vitamins,  Don't know.,C,
Which of the following foods contains the most fibre?,  Meat,  Fish,  Vegetables,  Dairy products,  Don't know.,C,
Which of the following has the highest fat content?,  Sardines,  Hake,  Plaice,  Rainbow trout,  Don't know.,C,
Which of the following is a traditional Norwegian Christmas dinner?,"  Roast turkey, prunes, boiled potatoes.","  Mutton and cabbage stew, boiled potatoes.","  Rissoles (meat patties), stewed green peas, boiled potatoes.","  Salted and dried rack of mutton, mashed swedes, boiled potatoes.",  Don't know.,C,
Which of the following items has the highest price per kilo?,  Oxtail,  Leg of pork,  Bonless beef entecote,  whole chicken,  Don't know.,B,
Which of the following kinds of fish is least perishable in cold storage?,  Salmon,  Herring,  Halibut,  King klip,  Don't know.,B,
Which of the following raw materials can increase the cholesterol content of the blood if eaten in excessive quantities?,  Fish,  Chicken,  Pork,  Vegetables,  Don't know.,A,
Which of the following should NOT be used on an electrical fire?,  Water extinguisher.,  Halon extinguisher,  CO2 extinguisher.,  Dry powder extinguisher.,  Don't know.,C,
Which of the following spices comes from bark?,  Cardamom,  Tumeric,  Cinnamon,  Capers,  Don't know.,D,
Which of the following spices comes from leaves?,  Allspice,  Ground black pepper,  Oregano,  Ginger,  Don't know.,C,
Which of the following tinned products should be kept in cold storage?,  Sardines/olives,  Peas,  Peaches,  Pickled herring,  Don't know.,C,
Which position is the best to stop bleeding from the nose?,"  Laying on the back, holding a wet, cold towel on the top of the nose.","  Laying on the back, leaning the head as much back as possible.","  Sitting on a chair, leaning forward, with two fingers pressing the nose together.",  Holding the nose above steamed water.,  Don't know.,C,
Which vitamin is found only in meat and fish?,  Vitamin A,  Vitamin E,  Vitamin C,  Vitamin B,  Don't know.,C,
Which vitamin is most easily destroyed by boiling?,  Vitamin E,  Vitamin A,  Vitamin C,  Vitamin B,  Don't know.,C,
Why do we clean?,  Because catering personnel is the first to discover dirt.,"  Because if we don't clean it will influence safety, economy, our own well",  Because I like to clean and feel good after having done a good job.,  Because we have to do it.,  Don't know.,C,
Why is it important to sort out linen before washing?,  It is not important on board modern vessels.,  To ensure that pillowcases are not washed together with bedsheets.,  To avoid damage and miscolouring of different types of fabric when washing.,  It is necessary to prevent loosing control of the stock.,  Don't know.,C,
Why shall you never pour water into hot fat?,  The water will explode into steam causing hot fat to be thrown far away thus possibly causing severe burns or fire.,  The water will turn into steam and cause the fat to explode.,  The fat will not be edible any more.,  The fat will stiffen immediately and need reheating.,  Don't know.,C,
Why should knives never be left submerged in washing-up water?,  Because the knives may be blunt and need resharpening.,  Because they may be lost when the sink is drained.,  Because you may cut your fingers.,  Because the blades may be stained and rust coloured.,  Don't know.,C,
You are going to grind mince meat (hamburger) for use in different dishes in which mince meat is the main ingredient. Which cut of meat would you use?,  Striploin,  Topside,  Silverside,  Rump,  Don't know.,B,
You are going to serve boiled potatoes for dinner at 5:30 pm (17:30). At what time should you have the potatoes ready?,  5:05 pm (17:05),  4:50 pm (16:50),  5:35 pm (17:35),  5:20 pm (17:20),  Don't know.,B,
You will be at sea for 45 days with a crew of 30 men. How much tomatoe would you buy?,  50kg,  35kg,  70kg,  60kg,  Don't know.,A,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
