QUES,A,B,C,D,E,Ans
"For protection of crew who might come into contact with chemicals in the course of their work, the ship should have suitable equipment such as chemical resistant aprons, gloves, footwear, coveralls, face and eye shields etc. After the days work these should be stowed:","A: In lockers in the accommodation, adjacent to the crew bathrooms, ready for instant use?",B: In the forecastle space?,"C: In suitable lockers easily accessible, yet segregated from the living spaces themselves?",D: At the bottom of the pump room in special lockers?,E: Don't know,C
How many classes is specified in the IMDG-Code?,A: 4,B: 9,C: 3,D: 5,E: Don't know,B
How much time can be saved by use of weather routing?,A 6%,B Impossible to say,C 4%,D 2%,E Don't know,A
In the chemical industry the effect on a person of long term exposure to low concentration of a substance is of prime concern. The expression TLV (Threshold Limit Value) is used to express the concentration of a substance in parts per million that must not be exceeded if a person is exposed to a:,A: 12 hours a day?,B: 8 hours a day?,C: 24 hours a day?,D: 16 hours a day?,E: Don't know,B
In which waters are piracy attacks most frequent?,A Open sea,B Indonesian waters,C Malaysian waters,D Brazilian waters,E Don't know,B
Norwegian merchant and fishing vessels have to participate in the AMVER system. What is the purpose of AMVER?,A: It is an automatic system for plotting vessels for rescue purposes,B: For weather routing,C: It is a NATO reporting system in case of joining a war convoy,D: It is a world wide telecommunication system,E: Don't know,A
Notification logging procedures .(OPA-90),A) Only initial reports to be logged,B) Every report or message must be logged including time and date,C) Only verbal reports for documentation,D) Only communication with USCG,E) Don't know,B
On an OBO or O/O carrier one frequently finds electrical sockets and switches on deck for use of lighting and other electrical apparatus when operating in the dry cargo mode. Before loading oil these should be:,A) Hung with warning signs that they should not be used during the carriage of oil?,B) Electrically isolated by special isolating switchboxes in the accommodation and the keys of these retained by a responsible officer?,C) Covered securely with covers made of an electrically insulating material?,D) Switched off locally on deck?,E) Don't know,B
"On the figure 4 possible definitions of the term ""AIR DRAUGHT"" are given. Which one is the correct one?",A: Air draught is given by D on the figure,B: Air draught is given by B on the figure,C: Air draught is given by C on the figure,D: Air draught is given by A on the figure,E: Don't know,D
"On the figure 4 possible definitions of the term ""FORWARD SPRING"" are given. Which one is the correct one?",A: Forward spring is given by D on the figure,B: Forward spring is given by B on the figure,C: Forward spring is given by C on the figure,D: Forward spring is given by A on the figure,E: Don't know,B
Read the text in the frame before answering the question: What is regarded as a threat to lives at sea and the marine environment?,A: New sophisticated ships manned with traditionally qualified seafarers is a bad combination and we must therefore prevent such ships from continuing in service,B: Old ships are generally in a very bad condition and all efforts should be made to have them removed from the market,C: Ships aged between twenty and thirty years old should not be allowed to operate and should be demolished,D: Bad management and poorly maintained old ships over several years have proven to be fatal,E: Don't know,D
Ship to ship communication during SAR should be executed by?,A VHF and MF,B MF,C Satellite,D VHF,E Don't know,D
"The rudder is hard over, full ahead in deep water. How much lift force remains when the engine is stopped?",A About 20%,B About 20%,C About 50%,D About 80%,E Don't know,A
The vessel is to leave anchorage. You will heave up the anchor but how and to whom will you report the status of the anchor?,A To the officer on duty on the bridge,B No need to report,C To the Chief Officer,D To the master according to his instructions,E Don't know,D
"The vessel's cranes are marked: ""SWL 29,5 tons x 22 M/R (including lifting beam weight 1,5 tons)"". You are going to lift onboard a 28 tons load being placed on the berth. What will be the maximum distance from C/L of crane to the load you are going to lift in order to have a ""safe"" operation?",A: 20 m.,B: 22 m.,"C: 29,5 m.",D: 28 m.,E: Don't know,B
"The watertight integrity of a vessel must be intact, when?",A: Can be relaxed during spells of fine weather?,B: When manoeuvring?,C: In open waters only?,D: Can be relaxed in inshore waters?,E: Don't know,C
What are bending moments?,A: Forces affecting the fore part of the vessel.,B: Forces which bends the vessel up and down in the fore-aft direction (hogg/sagg).,C: Forces affecting the aft part of the vessel.,D: Forces affecting between loaded and empty parts of the vessel.,E: Don't know,B
What do we mean with a IOPP certificate?,A) With IOPP certificate we mean International Oil Pollution Prevention certificate and the certificate prevent oil pollution from the ship,B) There isn't any IOPP certificate on gas carriers,C) With IOPP certificate we mean International Oil Pollution Prevention certificate and it is to prevent oil pollution,D) With IOPP certificate we mean International Oil Pollution Prevention certificate and the ship is classed to prevent oil pollution,E) Don't know,C
What do you understand by the term Slewing?,A: Making the grab bucket/hook move up and down.,B: Making the complete crane move port and starboard.,C: Making the crane jib move up and down.,D: Making the crane jib move from side to side.,E: Don't know,B
What does this crane signal indicate?,"A: Lower the boom, raise the load.","B: Raise the boom, raise the load.","C: Lower the boom, lower the load.","D: Lower the load, raise the boom.",E: Don't know,B
"What is a ""passenger"" according to SOLAS regulations?",A) Everyone who travels with a passenger ship,B) Every person other than the Captain and the members of the crew or other persons employed or engaged onboard the ship in the business of that ship.,C) Any person paying their voyage regardless of ship type,D) Any person holding a ticket and travelling with a passenger ship,E) Don't know,B
"What is correct UTC in this example? Approx. Pos: N49°51' W35°23', zone +2, Local Time 0900.",A: 23 00,B: 19 00,C: 11 00,D: 07 00,E: Don't know,D
What is the advantages of a GPS satellite system compared to other navigational aids?,A: The GPS system is based on hyperbola navigation.,"B: The GPS system gives information about position, speed and time continuously world wide.",C: The GPS system has a built-in group of six radio-beacons called a Decca chain.,D: The GPS system gives information about weather and waveconditions in the area.,E: Don't know,B
What is the deepest Subdivisional Load Line?,A) Waterline corresponding to deepest allowed draft permitted by subdivision requirements,B) Waterline corresponding to deepest allowed draft in subtropical zones,C) Waterline corresponding to deepest allowed draft,D) Seasonal zone dependent load line,E) Don't know,A
What is the fog signal for a vessel of more than 100 meters in length when at anchor?,A A rapid ringing of the bell forward for about 5 seconds at intervals of not more than one minute,B Two long blasts on the whistle at intervals not exceeding two minutes,C A rapid sounding of the gong forward for about 10 seconds at intervals of not more than two minutes,D A rapid ringing of the bell forward followed by the gong aft for about 5 seconds at intervals of not more than 1 minute,E Don't know,D
What is the possible position of a ship in distress called?,A: Zero-Point,B: S-Point,C: D-Point,D: R-Point,E: Don't know,D
What is the purpose of radar tracking of other ships?,A: To determine own course.,B: To receive information about ships in the vicinity.,C: To determine own speed.,D: To determine own position.,E: Don't know,B
What is the search system pattern called using 1 vessel?,A: Square System,B: Sector System,C: Single System,D: Lonely System,E: Don't know,B
What is the status on Suez canal pilots?,A Pilot is only compulsory during anchoring operations in Great Bitter Lake,B Pilotage is compulsory and the pilot is only the master's advisor,C Pilotage is not compulsory since this is a sea-level canal,D Pilotage is compulsory and accept full responsibility for any damage caused,E Don't know,C
What should be observed concerning a ship's water tight integrity?,A: All emergency exits doors locked and secured,B: The ramp in stowed position,C: That all vessel's water tight ramps and doors are locked and secured at sea.,D: The aft door locked,E: Don't know,C
What should be observed concerning the vessel's stress?,A: Distribution of the containers?,B: Weight of the containers?,C: The vessel's draft and trim?,D: Distribution and weight of the containers?,E: Don't know,D
What type of lashing arrangement are needed on weather deck for securing one container high?,A) Twistlocks with turnbuckles and rods?,B) Turnbuckles and rods?,C) Twistlocks?,D) No lashing arrangement needed?,E) Don't know,C
What type of lashing arrangement are needed on weather deck for securing two container high?,A) No lashing arrangement needed?,B) Twistlocks and rods with turnbuckles?,C) Rods and turnbuckles?,D) Twistlocks?,E) Don't know,D
What type of vessel is this?,A A vessel engaged in special operations,B A vessel of more than 50m in length engaged in pushing a barge/barges ahead,C Pilot vessel engaged in piloting duties,D An aircraft carrier launching or recovering aircraft,E Don't know,B
What will you serve seafarers who has been exposed to cold?,A) Warm nutritious drinks.,B) Pork and fat fish.,"C) Brandy, whiskey or other strong drinks.",D) Fruit and vegetables only.,E) Don't know,A
"When a number of merchant vessels, but no rescue units or warships, are participating in a search and rescue operation, one of the vessels will have to assume the duty as co-ordinator (CSS). Which one of the listed items is most important when designating a CSS?",A: Service speed of the vessels,B: Good radio communication facilities (preferable 2182 kHz and/or 156.8 MHz (channel 16) radiotelephony and 500 kHz radiotelegraphy),C: The manoeuvring of the vessels,D: Senior deck officers rescue operations experience,E: Don't know,B
When will we notice the effect of shallow water?,A: When Under Keel clearance is 15% or less,B: When Under Keel Clearance is 10% or less,C: When Under Keel Clearance is 75% or less,D: When Under Keel Clearance is 50% or less,E: Don't know,B
Which muscle is the most persevering one in the body?,A) None of the mentioned,B) The lever.,C) The heart.,D) The lungs.,E) Don't know,D
Which of the following cargoes are liable to spontaneous combustion?,A: Coal?,B: Sugar?,C: Silica gel?,D: Lead?,E: Don't know,B
Which of the following cargoes can explode?,A: Ammonium nitrate?,B: Copra cake?,C: Gypsum?,D: Turnings or swarfings?,E: Don't know,C
"Which of the four figures below has the correct position line? Approx. Pos. N50°00' W30°00' 1200 GMT. Course: 090°, speed: 12 knots, bearing of the sun: 200°, correction: 00°02' (observed altitude - computed altitude).",A: Figure 4 is correct.,B: Figure 2 is correct.,C: Figure 1 is correct.,D: Figure 3 is correct.,E: Don't know,A
Which sailing vessel (A or B) keeps out of the way of the other?,A: Each should call the other on VHF before deciding on the action to take,B: B keeps clear of A,C: Both keep clear of the other,D: A keeps clear of B,E: Don't know,A
"Whilst proceeding along a narrow channel the vessel astern wishes to overtake you on your starboard side and gives the appropriate sound signal. Assuming that you are in agreement with this, what sound signal should you make?",A Three prolonged blasts followed by one short blast,B Three short blasts followed by one prolonged blast,C Three short blasts,"D One prolonged, one short, one prolonged and one short blast",E Don't know,D
"Who is responsible for securing of derricks, cranes and other equipment?",A: The Safety Officer?,B: The Master?,C: The Chief Officer?,D: The Bosun?,E: Don't know,D
You are approaching a port when you see three lights in a vertical line. The upper and lower are green and the middle white. What does this mean?,A Vessels may proceed - Two way traffic,B Vessels may proceed - One way traffic,C You may proceed with caution,D A vessel may proceed only when it has received specific orders to do so,E Don't know,D
"You are on a vessel 60 nautical miles off the coast of the nearest land, Algeria, in the Mediterranean Sea. Are you allowed to dump empty glass bottles overboard?","A) Yes, glass bottles can be dumped overboard","B) Yes, the bottles can be dumped if they are ground so that the resulting particles can pass through a screen with 50 mm openings","C) Yes, the bottles can be dumped if they are ground so that the resulting particles can pass through a screen with 25 mm openings","D) No, glass bottles can not be dumped overboard (Note: The Mediterranean is a MARPOL ""Special Area"" where no garbage discharge except food waste is permitted).",E) Don't know,D
You are taking fuel on your vessel in the US when you notice oil on the water around your vessel. You are to stop taking fuel and:,A) Notify the Corps of Engineers,B) Begin clean up operations,C) Notify the US Coast Guard,D) Leave the area,E) Don't know,C
